Module Code,Module Title,module category,Module Level,module type,University,faculty,credit units,prerequisites,preclusions,final,project ,area of interest,semester offered,module description,All Module Details
MKT202e,Marketing Management,Other,2,compulsory,SUSS,School of Business,5,,"BMSZ326,MKT201,MKT203",T,T,business administration,"1,2","MKT202 Marketing Management is designed to introduce functions of the marketing department and the importance of marketing for modern organisations. In this course, students will learn classic marketing theories that remain relevant as well as contemporary marketing practices focusing on technology and digital marketing. This course also aims to build students’ knowledge and skills in the managerial aspects of marketing, including the development and execution of marketing plans and programmes.","MKT202 Marketing Management is designed to introduce functions of the marketing department and the importance of marketing for modern organisations. In this course, students will learn classic marketing theories that remain relevant as well as contemporary marketing practices focusing on technology and digital marketing. This course also aims to build students’ knowledge and skills in the managerial aspects of marketing, including the development and execution of marketing plans and programmes."
ACC353,Accounting Analytics,Data Analytics,3,elective,SUSS,School of Business,5,"ANL303,either (ACC201 and ACC202) or ACC202",,T,T,business administration,1,"ACC353 Accounting Analytics covers the application of data analytical methods and tools to assist accounting professionals in their analysis of accounting and other data. The course will equip the students with skills to integrate analytical methods with management and accounting knowledge. It will also enable them to understand Big Data and how it impacts accounting and business processes. The course will focus on analytics techniques for decision making and examining data in financial accounting, management accounting and auditing functions. Students will learn the basic knowledge and skills in selecting and applying software tools used in data analytics for accounting and related work.","ACC353 Accounting Analytics covers the application of data analytical methods and tools to assist accounting professionals in their analysis of accounting and other data. The course will equip the students with skills to integrate analytical methods with management and accounting knowledge. It will also enable them to understand Big Data and how it impacts accounting and business processes. The course will focus on analytics techniques for decision making and examining data in financial accounting, management accounting and auditing functions. Students will learn the basic knowledge and skills in selecting and applying software tools used in data analytics for accounting and related work."
ANL317,Business Forecasting,Data Science,3,compulsory,SUSS,School of Business,5,BUS105,BUS103,T,T,business administration,2,"ANL317 Business Forecasting equips students with the skills and knowledge to use time-series modelling techniques to predict future trends and changes that can help businesses make proactive decisions. At the end of this course, students will be competent in executing the entire forecasting process − from preparing data, identifying specific patterns of a time series, to choosing an appropriate model that produces meaningful and actionable forecasting results.","ANL317 Business Forecasting equips students with the skills and knowledge to use time-series modelling techniques to predict future trends and changes that can help businesses make proactive decisions. At the end of this course, students will be competent in executing the entire forecasting process − from preparing data, identifying specific patterns of a time series, to choosing an appropriate model that produces meaningful and actionable forecasting results."
ANL321,Statistical Methods,Statistics,3,elective,SUSS,School of Business,5,BUS105 or ANL101,ANL302,T,T,business administration,1,"ANL321 Statistical Methods explores the mathematical foundation of statistical inference and approaches. It begins with an introduction to basic mathematics for statistics, and then, to random variables and probability, the formulation of estimators and their properties, and regression models and their different variations. Students will learn statistical design thinking towards the estimation and identification of causality. They will learn the various pitfalls in regressions and the formulation of appropriate regression solutions to address various business and policy challenges. Students are expected to have mathematical foundations in calculus and should have attained a good grade in an undergraduate Statistics module (e.g., BUS105) as this course assumes fundamental knowledge in Statistics.","ANL321 Statistical Methods explores the mathematical foundation of statistical inference and approaches. It begins with an introduction to basic mathematics for statistics, and then, to random variables and probability, the formulation of estimators and their properties, and regression models and their different variations. Students will learn statistical design thinking towards the estimation and identification of causality. They will learn the various pitfalls in regressions and the formulation of appropriate regression solutions to address various business and policy challenges. Students are expected to have mathematical foundations in calculus and should have attained a good grade in an undergraduate Statistics module (e.g., BUS105) as this course assumes fundamental knowledge in Statistics."
ANL351,SAS Programming and its Application,Data Analytics,3,elective,SUSS,School of Business,5,ANL303e,,T,T,business administration,1,"ANL351 SAS Programming and its Application introduces the fundamentals of SAS programming. Topics include introducing the various component to the SAS Language, working with SAS and non-SAS datasets, preparing data, summarizing data, producing reports and producing reusable SAS code.","ANL351 SAS Programming and its Application introduces the fundamentals of SAS programming. Topics include introducing the various component to the SAS Language, working with SAS and non-SAS datasets, preparing data, summarizing data, producing reports and producing reusable SAS code."
ANL355,Applied Operations Research,Data Analytics,3,compulsory,SUSS,,5,BUS107,BUS362,T,T,,2,"ANL355 Applied Operations Research introduces students to the optimization process and covers techniques such as the Simplex Method, Network Simplex, integer programming, non-linear programming and dynamic programming. Case studies will be used extensively to help illustrate the various techniques covered. Hands-on using computer software (e.g., Excel, AMPL) will also be taught in this course.","ANL355 Applied Operations Research introduces students to the optimization process and covers techniques such as the Simplex Method, Network Simplex, integer programming, non-linear programming and dynamic programming. Case studies will be used extensively to help illustrate the various techniques covered. Hands-on using computer software (e.g., Excel, AMPL) will also be taught in this course."
BIS388,Independent Study,"Data Science, Data Analytics",3,elective,SUSS,,5,passed more than 80cu of courses (excluding Ucore courses),,F,T,,"1,2","Independent Study is a one-semester course in which a student will work on a selected academic 
endeavour with the direct supervision of an academic supervisor. The academic endeavour could be in 
any approved form, such as a short research project, short internship stint, an independent overseas 
study trip, and others. Any academic endeavour chosen by the student must first be approved by the 
School and supervised by the academic supervisor. The academic endeavour can be proposed by either 
the student or School. Students will need to have their proposals approved by the School prior to the 
start of the semester in which the enrolled course commences.
The course will be assessed by various forms as deemed suitable for the type of academic endeavour 
embarked upon. The assessment will consist of an OCAS component (40% of total course marks) as 
well as an OES component (60% of total course marks). The student will need to obtain at least 40% in 
each component to pass the course","Independent Study is a one-semester course in which a student will work on a selected academic 
endeavour with the direct supervision of an academic supervisor. The academic endeavour could be in 
any approved form, such as a short research project, short internship stint, an independent overseas 
study trip, and others. Any academic endeavour chosen by the student must first be approved by the 
School and supervised by the academic supervisor. The academic endeavour can be proposed by either 
the student or School. Students will need to have their proposals approved by the School prior to the 
start of the semester in which the enrolled course commences.
The course will be assessed by various forms as deemed suitable for the type of academic endeavour 
embarked upon. The assessment will consist of an OCAS component (40% of total course marks) as 
well as an OES component (60% of total course marks). The student will need to obtain at least 40% in 
each component to pass the course"
BME363,Applications of Artificial Intelligence in Healthcare,Data Science,3,elective,SUSS,School of Science & Technology,5,,,F,T,Science & Technology,1,"BME363 introduces the concept of artificial intelligence through data analytics, which can be used to analyse large amount of data, in order to provide useful information for decision-making. In the context of healthcare, large amounts of data such as electronic health records (EHRs) and “omics” data have become available through various stakeholders of the healthcare industry (payers, providers, pharmaceuticals). These data can be used to derive insights for improving medical care, disease staging and therapy monitoring. This course involves the use of open-source Python software and related toolboxes for data processing and also highlights specific biomedical applications in the field of bioinformatics, personalised medicine, diagnostics and medical informatics.","BME363 introduces the concept of artificial intelligence through data analytics, which can be used to analyse large amount of data, in order to provide useful information for decision-making. In the context of healthcare, large amounts of data such as electronic health records (EHRs) and “omics” data have become available through various stakeholders of the healthcare industry (payers, providers, pharmaceuticals). These data can be used to derive insights for improving medical care, disease staging and therapy monitoring. This course involves the use of open-source Python software and related toolboxes for data processing and also highlights specific biomedical applications in the field of bioinformatics, personalised medicine, diagnostics and medical informatics."
BUS102,Management in the Digital Age,Other,1,compulsory,SUSS,School of Business,5,,"BUS101,BSZ160",T,T,business administration,1,"BUS102 Management in the Digital Age is an introductory course in management theory and application. This course introduces the fundamental concepts and principles of business management and new developments in the industry to students. It provides students with knowledge of the four management functions – planning, organising, leading and controlling – in the light of the ever changing and turbulent business environment, especially when disruptive innovations are the norm. It addresses some key issues that are directly relevant to day-to-day business operations. This foundational knowledge base of management principles and concepts will enable students to enhance their own management capabilities and to understand contemporary issues in management, and what it takes to manage organisations in the digital era. This course also provides students with examples, applications and implications to the modern organisations.","BUS102 Management in the Digital Age is an introductory course in management theory and application. This course introduces the fundamental concepts and principles of business management and new developments in the industry to students. It provides students with knowledge of the four management functions – planning, organising, leading and controlling – in the light of the ever changing and turbulent business environment, especially when disruptive innovations are the norm. It addresses some key issues that are directly relevant to day-to-day business operations. This foundational knowledge base of management principles and concepts will enable students to enhance their own management capabilities and to understand contemporary issues in management, and what it takes to manage organisations in the digital era. This course also provides students with examples, applications and implications to the modern organisations."
BUS107,Quantitative Methods,"Computer Science, Mathematics",1,compulsory,SUSS,School of Business,5,,"BSZ220,BZS3001",T,T,business administration,"1,2","BUS107 Quantitative Methods introduces management science techniques and their potential applications in various business challenges. Students will learn and practise the use of quantitative methods for various purposes, such as linear programming for optimisation problems and simulation for estimating performance measures. This course will cover linear programming, forecasting, decision analysis, simulation, and network flow problems. In addition to manual methods, this course also presents software tools for performing computing tasks. At the end of the course, students will learn how to transform data into better decisions.","BUS107 Quantitative Methods introduces management science techniques and their potential applications in various business challenges. Students will learn and practise the use of quantitative methods for various purposes, such as linear programming for optimisation problems and simulation for estimating performance measures. This course will cover linear programming, forecasting, decision analysis, simulation, and network flow problems. In addition to manual methods, this course also presents software tools for performing computing tasks. At the end of the course, students will learn how to transform data into better decisions."
BUS201,Contract and Agency Law,Other,2,compulsory,SUSS,School of Business,5,,BSZ150,T,T,business administration,"1,2","BUS201 Contract & Agency Law introduces students to the key elements of contract and agency law and the role of contractual and agency relationships in business. In respect of contract law, the goal of the course is to demonstrate how contract law facilitates business transactions by being the “glue” which binds parties to perform their agreements. In respect of agency law, the goal is to show how legal rules shape the numerous agency relationships which are found within the Singapore business environment. Throughout the course, students will be exposed to relevant Singapore case law and legislation in order to highlight the practical application of these topics in business transactions","BUS201 Contract & Agency Law introduces students to the key elements of contract and agency law and the role of contractual and agency relationships in business. In respect of contract law, the goal of the course is to demonstrate how contract law facilitates business transactions by being the “glue” which binds parties to perform their agreements. In respect of agency law, the goal is to show how legal rules shape the numerous agency relationships which are found within the Singapore business environment. Throughout the course, students will be exposed to relevant Singapore case law and legislation in order to highlight the practical application of these topics in business transactions"
BUS352,Operations Analytics,Data Analytics,3,elective,SUSS,School of Business,5,,"BUS351,BSZ352",T,T,business administration,"1,2","Improvements in data-collecting technologies have changed the way firms make informed and effective business decisions. BUS352 Operations Analytics focuses on the use of analytics, together with data, to analyse and solve operational problems in various business settings, and transform data into information to support decision making. In BUS352 Operations Analytics, students will gain a better understanding of the classic operations problems with data support, as well as learn to describe and present operational data in a meaningful and informative way. Students will also be exposed to analytics techniques and learn how to apply them to construct quantitative models, e.g., forecasting, optimisation and simulation models, to solve operational problems. Students will learn how to choose the best course of action in the face of uncertainty.","Improvements in data-collecting technologies have changed the way firms make informed and effective business decisions. BUS352 Operations Analytics focuses on the use of analytics, together with data, to analyse and solve operational problems in various business settings, and transform data into information to support decision making. In BUS352 Operations Analytics, students will gain a better understanding of the classic operations problems with data support, as well as learn to describe and present operational data in a meaningful and informative way. Students will also be exposed to analytics techniques and learn how to apply them to construct quantitative models, e.g., forecasting, optimisation and simulation models, to solve operational problems. Students will learn how to choose the best course of action in the face of uncertainty."
BUS353,Project Management,Other,3,elective,SUSS,School of Business,5,,BSZ352 or BZS3002,F,T,business administration,"1,2","BUS353 Project Management will provide both theoretical and practical insights on Project Management with the objective of providing a solid foundation for students to be knowledgeable on the subject, and become effective project team members and potentially project managers. This course covers topics such as request for proposal, proposal submission, risk assessment, project scheduling, resource allocation, cost estimation and budgeting. The roles and responsibilities of the project manager, project team and organization structures will also be covered.","BUS353 Project Management will provide both theoretical and practical insights on Project Management with the objective of providing a solid foundation for students to be knowledgeable on the subject, and become effective project team members and potentially project managers. This course covers topics such as request for proposal, proposal submission, risk assessment, project scheduling, resource allocation, cost estimation and budgeting. The roles and responsibilities of the project manager, project team and organization structures will also be covered."
BUS357,Starting and Managing a business,Other,3,elective,SUSS,School of Business,5,,BFSZ333,F,T,business administration,"1,2","BUS357 Starting and Managing a Business provides students with fundamental knowledge of entrepreneurship and its value to society, markets, and to individual entrepreneurs who innovate. The course provides an explanation of the entrepreneurial mindset and characteristics that drive success. It also provides tools to help entrepreneurs identify and act upon opportunities and able to swiftly pivot when required to. Students will get a first-hand experience of how it is like to build a start-up, from having an idea to validating it to pitching the idea to investors. Students will form groups to brainstorm business ideas and go through the process of validating and testing the idea and coming up with a prototype and eventually prepare a pitch for investors. The course would also discuss frameworks for (i) strategic, financial, legal, and business planning to start and develop a business, and (ii) exit strategy for the entrepreneur.","BUS357 Starting and Managing a Business provides students with fundamental knowledge of entrepreneurship and its value to society, markets, and to individual entrepreneurs who innovate. The course provides an explanation of the entrepreneurial mindset and characteristics that drive success. It also provides tools to help entrepreneurs identify and act upon opportunities and able to swiftly pivot when required to. Students will get a first-hand experience of how it is like to build a start-up, from having an idea to validating it to pitching the idea to investors. Students will form groups to brainstorm business ideas and go through the process of validating and testing the idea and coming up with a prototype and eventually prepare a pitch for investors. The course would also discuss frameworks for (i) strategic, financial, legal, and business planning to start and develop a business, and (ii) exit strategy for the entrepreneur."
ECO202,Economic Ideas and Models for Business,Other,2,compulsory,SUSS,School of Business,5,,"ECO201,BSZ221,DDZS2021",T,T,business administration,"1,2","ECO202 Economic Ideas and Models for Business provides students with fundamental knowledge from economic methods that are applied to business. It is the science of decision making for allocating scarce resources in the management of a business or other organisation. The first part of the course covers the principles of microeconomics focusing on consumers’ and producers’ decision making for welfare and profit maximisation, respectively while the second part covers a few key principles of macroeconomics. The course covers the framework of demand and supply, market and efficiency, cost and production decision in an economy, game theories applied to business, information and externality, and a nation’s income, inflation and economic growth in the long run.","ECO202 Economic Ideas and Models for Business provides students with fundamental knowledge from economic methods that are applied to business. It is the science of decision making for allocating scarce resources in the management of a business or other organisation. The first part of the course covers the principles of microeconomics focusing on consumers’ and producers’ decision making for welfare and profit maximisation, respectively while the second part covers a few key principles of macroeconomics. The course covers the framework of demand and supply, market and efficiency, cost and production decision in an economy, game theories applied to business, information and externality, and a nation’s income, inflation and economic growth in the long run."
ENG233,Internet of Things (IoT),Computer Science,2,elective,SUSS,School of Science & Technology,5,,ENG303,F,T,Science & Technology,"1,2","ENG233 Internet of Things (IoT) introduces the concepts of IoT and the underlying technologies. Students learn about the IoT architecture, system requirements, IoT system design, interfaces, communication protocols and data storage. This course introduces security issues in IoT systems and outlines measures to maintain the system security. Applications and case studies of IoT are discussed. Students will gain hands-on experience in designing IoT systems during the lab sessions using Raspberry pi or a suitable platform together with the relevant sensors. Students use the Electronics labs to prototype the IoT systems.","ENG233 Internet of Things (IoT) introduces the concepts of IoT and the underlying technologies. Students learn about the IoT architecture, system requirements, IoT system design, interfaces, communication protocols and data storage. This course introduces security issues in IoT systems and outlines measures to maintain the system security. Applications and case studies of IoT are discussed. Students will gain hands-on experience in designing IoT systems during the lab sessions using Raspberry pi or a suitable platform together with the relevant sensors. Students use the Electronics labs to prototype the IoT systems."
ICT233,Data Programming,Computer Science,2,elective,SUSS,School of Science & Technology,5,ICT133 or ANL252,ICT203,F,T,Science & Technology,"1,2","This course introduces students to the language (that is, protocol) adopted in the communication between a web server and client (browser), called the HyperText Transport Protocol (HTTP). Students will learn to write a program to talk HTTP with web servers to download web pages from the World Wide Web (WWW). By understanding the format of the web pages in HyperText Markup Language (HTML), the information in the web pages can be extracted in the form of an object. Students then learn how to design traditional database and store the information of the objects using the Object-Relational Mapping (ORM) method. Students will also learn how to Create, Read, Update and Destroy (CRUD) records of a database system. A data structure, DataFrame, will be introduced so that CRUD operations on information can be performed through a programming language.","This course introduces students to the language (that is, protocol) adopted in the communication between a web server and client (browser), called the HyperText Transport Protocol (HTTP). Students will learn to write a program to talk HTTP with web servers to download web pages from the World Wide Web (WWW). By understanding the format of the web pages in HyperText Markup Language (HTML), the information in the web pages can be extracted in the form of an object. Students then learn how to design traditional database and store the information of the objects using the Object-Relational Mapping (ORM) method. Students will also learn how to Create, Read, Update and Destroy (CRUD) records of a database system. A data structure, DataFrame, will be introduced so that CRUD operations on information can be performed through a programming language."
ICT330,Database Management Systems,Computer Science,3,elective,SUSS,School of Science & Technology,5,,ICT321,T,F,Science & Technology,"1,2","ICT330 Database Management Systems introduces students to relational databases, data 
modelling and the theory of relations as applied to the representation of models of data. The 
aim of this course is to equip students with an understanding of database systems concepts and 
in particular, using and then designing both read-only and updateable relational databases. The 
data sublanguage SQL, covered in practical lab sessions using a database management system 
such as Oracle Database system, includes both SQL Data Definition Language (DDL) for the 
implementation of the physical database from the Logical Data Model and Data Manipulation 
Language (DML) for data manipulation and query. The implementation of database objects 
such as views, triggers and stored procedures using SQL procedural extensions to fulfill 
business requirements are also explored in practical lab sessions. The system administration of 
multi-user database systems will also be covered to address issues such as concurrency, 
database backup, recovery and security.","ICT330 Database Management Systems introduces students to relational databases, data 
modelling and the theory of relations as applied to the representation of models of data. The 
aim of this course is to equip students with an understanding of database systems concepts and 
in particular, using and then designing both read-only and updateable relational databases. The 
data sublanguage SQL, covered in practical lab sessions using a database management system 
such as Oracle Database system, includes both SQL Data Definition Language (DDL) for the 
implementation of the physical database from the Logical Data Model and Data Manipulation 
Language (DML) for data manipulation and query. The implementation of database objects 
such as views, triggers and stored procedures using SQL procedural extensions to fulfill 
business requirements are also explored in practical lab sessions. The system administration of 
multi-user database systems will also be covered to address issues such as concurrency, 
database backup, recovery and security."
MKT365,Social Media Metrics & Analytics,Data Analytics,3,elective,SUSS,School of Business,5,,,F,T,business administration,"1,2","The objective of MKT365 Social Media Metrics & Analytics is to equip students with practical skills in acquiring and analysing data from social media with Python. Students will be exposed to the analytic methods that can be used to convert social media data to marketing insights. Students will be able to implement Python tools for data collection, gathering the information needed to get started with applications such as natural language processing (NLP), social network analysis, and data visualization. This course will allow students to learn how to access data from mainstream social networks such as Twitter and Facebook, and how to perform different types of analysis in order to extract useful insights from the raw data and to present the results to support decision making in digital marketing.","The objective of MKT365 Social Media Metrics & Analytics is to equip students with practical skills in acquiring and analysing data from social media with Python. Students will be exposed to the analytic methods that can be used to convert social media data to marketing insights. Students will be able to implement Python tools for data collection, gathering the information needed to get started with applications such as natural language processing (NLP), social network analysis, and data visualization. This course will allow students to learn how to access data from mainstream social networks such as Twitter and Facebook, and how to perform different types of analysis in order to extract useful insights from the raw data and to present the results to support decision making in digital marketing."
MKT371,Customer Insights and Analytics,Data Analytics,3,elective,SUSS,School of Business,5,,MKT355,F,T,business administration,2,"MKT371 Customer Insights and Analytics aims to develop competency in conducting quantitative marketing research. It equips students with practical knowledge and skills to collect survey data, conduct appropriate statistical analysis, as well as extracting insights for decision making.","MKT371 Customer Insights and Analytics aims to develop competency in conducting quantitative marketing research. It equips students with practical knowledge and skills to collect survey data, conduct appropriate statistical analysis, as well as extracting insights for decision making."
MKT390,Marketing Research,Other,3,elective,SUSS,School of Business,5,,BMSZ321,T,T,business administration,2,"Marketing research is considered one of the key functions in marketing. The topics covered in this course include: the role and value of marketing research information, technology in the research process, designing the research project, sampling and its issues, scale measurements, and questionnaire design issues.","Marketing research is considered one of the key functions in marketing. The topics covered in this course include: the role and value of marketing research information, technology in the research process, designing the research project, sampling and its issues, scale measurements, and questionnaire design issues."
