school,code,name,description,skills
NUS,DSA3102,Essential Data Analytics Tools: Convex Optimisation,Convex optimisation is an indispensable technique in dealing with high-dimensional structured problems in data science. The module covers modelling examples; basic concepts for convex functions and sub-gradients; gradient and sub-gradient methods; accelerated proximal gradient methods; stochastic block coordinate descent methods; Lagrangian duals; splitting algorithms and implementations.,"['convex', 'optimisation', 'high', 'dimensional', 'structured', 'convex', 'function', 'sub', 'gradient', 'gradient', 'sub', 'gradient', 'method', 'stochastic', 'block', 'coordinate', 'descent', 'method', 'lagrangian', 'duals', 'splitting', 'algorithm', 'implementation']"
NUS,ST3131,Regression Analysis,"This module focuses on data analysis using multiple regression models. Topics include simple linear regression, multiple regression, model building and regression diagnostics. One and two factor analysis of variance, analysis of covariance, linear model as special case of generalized linear model. This module is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","['data', 'analysis', 'multiple', 'regression', 'model', 'simple', 'linear', 'regression', 'multiple', 'regression', 'model', 'building', 'regression', 'diagnostics', 'variance', 'analysis', 'covariance', 'linear', 'model', 'generalized', 'linear', 'model', 'statistic']"
NUS,DSA4199,Honours Project in Data Science and Analytics,"The objectives of the module are to develop skills for independent data-driven research and to promote the application of novel problem-solving strategies in data science. On completion of the module, students should be able to demonstrate an appreciation of the current state of knowledge in a particular field of research, to master the techniques required for the study of a research question, and to communicate research findings clearly and concisely in written and spoken English.","['communicate', 'research', 'finding']"
NUS,DSA4299,Applied Project in Data Science and Analytics,"For Bachelor of Science (Honours) students to participate full-time in a six-month-long project in an applied context that culminates in a project presentation and report.
",[]
NUS,DSA4211,High-Dimensional Statistical Analysis,"Dimensionality is an issue that can arise in many scientific fields such as medicine, genetics, business and finance, among others. The statistical properties of estimation and inference procedures must be carefully established when the number of variables is much larger than the number of observations. This module will discuss several statistical methodologies useful for exploring voluminous data. They include principal component analysis, clustering and classification, tree-structured analysis, neural network, hidden Markov models, sliced inverse regression, multiple testing, sure independent screening (SIS) and penalized estimation for variable selection. Real data will be used for illustration of these methods. Some fundamental theory for high-dimensional learning will be covered.","['estimation', 'inference', 'procedure', 'principal', 'component', 'analysis', 'clustering', 'classification', 'tree', 'structured', 'analysis', 'neural', 'network', 'hidden', 'markov', 'model', 'sliced', 'inverse', 'regression', 'multiple', 'testing', 'sure', 'independent', 'screening', 'si', 'penalized', 'estimation', 'variable', 'selection', 'theory', 'high', 'dimensional', 'learning']"
NUS,DSA4212,Optimisation for Large-Scale Data-Driven Inference,"Computational optimisation is ubiquitous in statistical learning and machine learning. The module covers several current and advanced topics in optimisation, with an emphasis on efficient algorithms for solving large scale data-driven inference problems. Topics include first and second order methods, stochastic gradient type approaches and duality principles. Many relevant examples in statistical learning and machine learning will be covered in detail. The algorithms will be implemented using the Python programming language.","['computational', 'optimisation', 'statistical', 'learning', 'machine', 'learning', 'optimisation', 'first', 'second', 'order', 'method', 'stochastic', 'gradient', 'type', 'approach', 'duality', 'principle', 'statistical', 'learning', 'machine', 'learning', 'python']"
NUS,DSA4262,Sense-making Case Analysis: Health and Medicine,"The practice of data science involves sense-making, the ability to formulate problems or hypotheses in real-world situations. Only when algorithms and technology are applied to meaningful problems or hypotheses can useful information be extracted from data for making decisions. This module is conducted as a series of hackathons: data scientists from partnering organisations in the health and medicine sector provide the real-world situations and data which will enable students to gain practical experience in (i) formulating problems, (ii) solving them by applying, or developing and implementing, appropriate data-analytic tools and techniques, and (iii) communicating findings and insights gained clearly.","['formulating', 'problem', 'data', 'analytic', 'tool', 'technique', 'communicating', 'finding', 'insight']"
NUS,DSA4263,Sense-making Case Analysis: Business and Commerce,"The practice of data science involves sense-making, the ability to formulate problems or hypotheses in real-world situations. Only when algorithms and technology are applied to meaningful problems or hypotheses can useful information be extracted from data for making decisions. This module is conducted as a series of hackathons data scientists from partnering organisations in the business and commerce sector provide the real-world situations and data which will enable students to gain practical experience in (i) formulating problems, (ii) solving them by applying, or developing and implementing, appropriate data-analytic tools and techniques, and (iii) communicating findings and insights gained clearly.","['formulating', 'problem', 'data', 'analytic', 'tool', 'technique', 'communicating', 'finding', 'insight']"
NUS,DSA4266,Sense-making Case Analysis: Science and Technology,"The practice of data science involves sense-making, the ability to formulate problems or hypotheses in real-world situations. Only when algorithms and technology are applied to meaningful problems or hypotheses can useful information be extracted from data for making decisions. This module is conducted as a series of hackathons: data scientists from partnering organisations in the science and technology sector provide the real-world situations and data which will enable students to gain practical experience in (i) formulating problems, (ii) solving them by applying, or developing and implementing, appropriate data-analytic tools and techniques, and (iii) communicating findings and insights gained clearly.","['formulating', 'problem', 'data', 'analytic', 'tool', 'technique', 'communicating', 'finding', 'insight']"
NUS,MA3236,Non-Linear Programming,"Optimization principles are of undisputed importance in modern design and system operation. The objective of this course is to present these principles and illustrate how algorithms can be designed from the mathematical theories for solving optimization problems. Major topics: Fundamentals, unconstrained optimization: one-dimensional search, Newton-Raphson method, gradient method, constrained optimization: Lagrangian multipliers method, Karush-Kuhn-Tucker optimality conditions, Lagrangian duality and saddle point optimality conditions, convex programming: Frank-Wolfe method.","['optimization', 'principle', 'importance', 'system', 'operation', 'optimization', 'problem', 'unconstrained', 'optimization', 'newton', 'raphson', 'method', 'gradient', 'method', 'constrained', 'optimization', 'lagrangian', 'multiplier', 'method', 'karush', 'kuhn', 'tucker', 'optimality', 'condition', 'lagrangian', 'duality', 'saddle', 'point', 'optimality', 'condition', 'convex', 'programming', 'frank', 'wolfe', 'method']"
NUS,MA3252,Linear and Network Optimisation,"The objective of this course is to work on optimization problems which can be formulated as linear and network optimization problems. We formulate linear programming (LP) problems and solve them by the simplex method (algorithm). We also look at the geometrical aspect and develop the mathematical theory of the simplex method. We further study problems which may be formulated using graphs and networks. These optimization problems can be solved by using linear or integer programming approaches. However, due to its graphical structure, it is easier to handle these problems by using network algorithmic approaches. Applications of LP and network optimization will be demonstrated. This course should help the student in developing confidence in solving many similar problems in daily life that require much computing. Major topics: Introduction to LP: solving 2-variable LP via graphical methods. Geometry of LP: polyhedron, extreme points, existence of optimal solution at extreme point. Development of simplex method: basic solution, reduced costs and optimality condition, iterative steps in a simplex method, 2-phase method and Big-M method. Duality: dual LP, duality theory, dual simplex method. Sensitivity Analysis. Network optimization problems: minimal spanning tree problems, shortest path problems, maximal flow problems, minimum cost flow problems, salesman problems and postman problems.","['optimization', 'problem', 'linear', 'network', 'optimization', 'linear', 'programming', 'lp', 'simplex', 'method', 'simplex', 'method', 'graph', 'network', 'linear', 'integer', 'programming', 'network', 'algorithmic', 'approach', 'lp', 'network', 'optimization', 'lp', 'variable', 'lp', 'via', 'graphical', 'method', 'geometry', 'lp', 'polyhedron', 'extreme', 'point', 'existence', 'optimal', 'solution', 'extreme', 'point', 'simplex', 'method', 'basic', 'solution', 'reduced', 'cost', 'optimality', 'condition', 'iterative', 'step', 'simplex', 'method', 'phase', 'method', 'big', 'method', 'duality', 'dual', 'lp', 'duality', 'theory', 'dual', 'simplex', 'method', 'sensitivity', 'analysis', 'network', 'optimization', 'minimal', 'spanning', 'tree', 'shortest', 'path', 'maximal', 'flow', 'minimum', 'cost', 'flow', 'salesman', 'problem', 'postman', 'problem']"
NUS,MA4270,Data Modelling and Computation,"This course aims at presenting important mathematical concepts and computational methods that are often used for modelling and analysis of big data sets and complex networks. The emphasis is on mathematical modelling and computational methods for practical problems in data science. Major topics include: basics on convex analysis, numerical methods for large-scale convex problems, dimensionality reduction, numerical methods for machine learning, kernel methods for pattern analysis, sparse coding and dictionary learning.","['mathematical', 'modelling', 'computational', 'method', 'convex', 'analysis', 'numerical', 'method', 'large', 'scale', 'convex', 'problem', 'dimensionality', 'reduction', 'numerical', 'method', 'machine', 'learning', 'kernel', 'method', 'pattern', 'analysis', 'sparse', 'coding', 'dictionary', 'learning']"
NUS,ST3232,Design & Analysis of Experiments,"This module covers common designs of experiments and their analysis. Topics include basic experimental designs, analysis of one-way and two way layout data, multiple comparisons, factorial designs, 2k-factorial designs, blocking and confounding, fractional factorial design and nested designs. This module is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","['experimental', 'design', 'analysis', 'one', 'way', 'two', 'way', 'layout', 'data', 'multiple', 'comparison', 'factorial', 'design', 'k', 'factorial', 'design', 'blocking', 'confounding', 'fractional', 'factorial', 'design', 'nested', 'design', 'statistic']"
NUS,ST4253,Applied Time Series Analysis,"This module introduces the modelling and analysis of time series data. A computer package will be used to analyse real data sets. Topics include stationary time series, ARIMA models, estimation and forecasting with ARIMA models This module is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","['time', 'series', 'data', 'stationary', 'time', 'series', 'arima', 'model', 'estimation', 'forecasting', 'arima', 'model', 'statistic']"
NUS,ST3239,Survey Methodology,"This module gives an introduction to the design of sample surveys and estimation procedures, with emphasis on practical applications in survey sampling. Topics include planning of surveys, questionnaire construction, methods of data collection, fieldwork procedures, sources of errors, basic ideas of sampling, simple random sampling, stratified, systematic, replicated, cluster and quota sampling, sample size determination and cost. This module is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","['design', 'sample', 'survey', 'estimation', 'procedure', 'survey', 'sampling', 'planning', 'survey', 'questionnaire', 'construction', 'method', 'data', 'collection', 'procedure', 'source', 'error', 'basic', 'idea', 'sampling', 'simple', 'random', 'sampling', 'stratified', 'systematic', 'replicated', 'cluster', 'quota', 'sampling', 'sample', 'size', 'determination', 'cost', 'statistic']"
NUS,ST4250,Multivariate Statistical Analysis,"This module focuses on the classical theory and methods of multivariate statistical analysis. Topics include distribution theory multivariate normal distribution, Hotelling's T2 and Wishart distributions, inference on the mean and covariance, principal components and canonical correlation, factor analysis, discrimination and classification. This module is targeted at students who are interested in Statistics, are able to meet the pre-requisites and are matriculated in or after 2002.","['multivariate', 'statistical', 'analysis', 'distribution', 'theory', 'multivariate', 'normal', 'distribution', 'hotelling', ""'s"", 'wishart', 'distribution', 'inference', 'mean', 'covariance', 'principal', 'component', 'canonical', 'correlation', 'factor', 'analysis', 'discrimination', 'classification', 'statistic']"
NUS,ST3247,Simulation,"The advent of fast and inexpensive computational power has facilitated the description of real phenomenon using realistic stochastic models which can be analysed using simulation studies. This module teaches students how to analyse a model by use of a simulation study and the topics include pseudorandom number generation, generating discrete and continuous random variables, simulating discrete events, statistical analysis of simulated data, variance reduction, Markov Chain Monte Carlo methods. It also covers topics in stochastic optimisation such as simulated annealing. This module is targeted at students who are interested in Statistics and are able to meet the prerequisites.","['pseudorandom', 'number', 'generation', 'generating', 'discrete', 'continuous', 'random', 'variable', 'simulating', 'discrete', 'event', 'statistical', 'analysis', 'simulated', 'data', 'variance', 'reduction', 'markov', 'chain', 'monte', 'carlo', 'method', 'stochastic', 'optimisation', 'simulated', 'annealing', 'statistic']"
NUS,ST3248,Statistical Learning I,"Statistical learning is a large collection of computer-based modelling and prediction tools with applications in diverse fields including business, medicine, astrophysics, and public policy. This series of two modules covers many of the popular approaches for a variety of statistical problems. There is heavy emphasis on the implementation of these methods on real-world data sets in the popular statistical software package R. Part I gives a broad overview of the common problems as well as their most popular approaches. Topics include linear regression model and its extensions, classification methods, resampling methods, regularisation and model selection, principal components and clustering methods.","['statistical', 'learning', 'statistical', 'software', 'package', 'r', 'linear', 'regression', 'model', 'classification', 'method', 'resampling', 'method', 'regularisation', 'model', 'selection', 'principal', 'component', 'clustering', 'method']"
NUS,ST4231,Computer Intensive Statistical Methods,"The availability of high-speed computation has led to the development of “modern” statistical methods which are implemented in the form of well-understood computer algorithms. This module introduces students to several computer intensive statistical methods and the topics include empirical distribution and plug-in principle, general algorithm of bootstrap method, bootstrap estimates of standard deviation and bias, jack-knife method, bootstrap confidence intervals, the empirical likelihood for the mean and parameters defined by simple estimating function, Wilks theorem, and EL confidence intervals, missing data, EM algorithm, Markov Chain Monte Carlo methods. This module is targeted at students who are interested in Statistics and are able to meet the prerequisite.","['empirical', 'distribution', 'plug', 'principle', 'bootstrap', 'method', 'bootstrap', 'estimate', 'standard', 'deviation', 'bias', 'jack', 'knife', 'method', 'bootstrap', 'confidence', 'interval', 'empirical', 'likelihood', 'theorem', 'el', 'confidence', 'interval', 'missing', 'data', 'em', 'algorithm', 'markov', 'chain', 'monte', 'carlo', 'method', 'statistic']"
NUS,ST4234,Bayesian Statistics,"Bayesian principles: Bayes' theorem, estimation, hypothesis testing, prior distributions, likelihood, predictive distributions. Bayesian computation: numerical approximation, posterior simulation and integration, Markov chain simulation, models and applications: hierarchical linear models, generalized linear models, multivariate models, mixture models, models for missing data, case studies. This module is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","['bayesian', 'principle', 'bayes', ""'"", 'theorem', 'estimation', 'hypothesis', 'testing', 'prior', 'distribution', 'likelihood', 'predictive', 'distribution', 'bayesian', 'computation', 'numerical', 'approximation', 'posterior', 'simulation', 'integration', 'markov', 'chain', 'simulation', 'hierarchical', 'linear', 'model', 'generalized', 'linear', 'model', 'multivariate', 'model', 'mixture', 'model', 'missing', 'data', 'statistic']"
NUS,ST4248,Statistical Learning II,"Statistical Learning is a large collection of computer-based modelling and prediction tools with applications in diverse fields including business, medicine, astrophysics, and public policy. This series of two modules covers many of the popular approaches for a variety of statistical problems. There is heavy emphasis on the implementation of these methods on real-world data sets in the popular statistical software package R. Part II builds on the knowledge in Part I, introducing more tools as well as generalising and extending some of the tools covered in Part I using entirely different approaches. Topics include non-parametric smoothing methods, tree-based methods, support vector machines, neural networks and ensemble learning.","['statistical', 'learning', 'statistical', 'software', 'package', 'r', 'non', 'parametric', 'smoothing', 'method', 'tree', 'based', 'method', 'support', 'vector', 'machine', 'neural', 'network', 'ensemble', 'learning']"
NUS,CS3210,Parallel Computing,"The aim of this module is to provide an introduction to the field of parallel computing with hands-on parallel programming experience on real parallel machines. The module is divided into four parts parallel computation models and parallelism, parallel architectures, parallel algorithm design and programming, and new parallel computing models. Topics includes theory of parallelism and models; shared-memory architectures; distributed-memory architectures; data parallel architectures; interconnection networks, topologies and basic of communication operations; principles of parallel algorithm design; performance and scalability of parallel programs, overview of new parallel computing models such as grid, cloud, GPGPU.","['parallel', 'computing', 'parallel', 'programming', 'parallel', 'machine', 'parallel', 'computation', 'model', 'parallelism', 'parallel', 'architecture', 'parallel', 'algorithm', 'design', 'programming', 'new', 'parallel', 'computing', 'model', 'theory', 'parallelism', 'model', 'shared', 'memory', 'architecture', 'distributed', 'memory', 'architecture', 'data', 'parallel', 'architecture', 'interconnection', 'network', 'topology', 'communication', 'operation', 'parallel', 'algorithm', 'design', 'performance', 'scalability', 'parallel', 'program', 'grid', 'cloud', 'gpgpu']"
NUS,CS3223,Database Systems Implementation,"This system-oriented module provides an in-depth study of the concepts and implementation issues related to database management systems. It first covers the physical implementation of the relational data model, which includes storage management, access methods, query processing, and optimisation. Then it covers issues and techniques dealing with multi-user application environments, namely, transactions, concurrency control, and recovery. The third part covers advanced topics such as on-line analytical processing, in-memory databases, and column stores.","['database', 'management', 'system', 'relational', 'data', 'model', 'storage', 'management', 'access', 'method', 'query', 'processing', 'optimisation', 'multi', 'user', 'application', 'environment', 'transaction', 'concurrency', 'control', 'recovery', 'line', 'analytical', 'processing', 'memory', 'database', 'column', 'store']"
NUS,CS3230,Design and Analysis of Algorithms,"This module introduces different techniques of designing and analysing algorithms. Students will learn about the framework for algorithm analysis, for example, lower bound arguments, average case analysis, and the theory of NP-completeness. In addition, students are exposed to various algorithm design paradigms. The module serves two purposes: to improve the students' ability to design algorithms in different areas, and to prepare students for the study of more advanced algorithms. The module covers lower and upper bounds, recurrences, basic algorithm paradigms (such as prune-and-search, dynamic programming, branch-and-bound, graph traversal, and randomised approaches), amortized analysis, NP-completeness, and some selected advanced topics.","['designing', 'analysing', 'algorithm', 'algorithm', 'analysis', 'lower', 'bound', 'argument', 'average', 'case', 'analysis', 'np', 'completeness', 'lower', 'upper', 'bound', 'recurrence', 'prune', 'search', 'dynamic', 'programming', 'branch', 'bound', 'graph', 'traversal', 'randomised', 'approach', 'amortized', 'analysis', 'np', 'completeness']"
NUS,CS3243,Introduction to Artificial Intelligence,"The module introduces the basic concepts in search and knowledge representation as well as to a number of sub-areas of artificial intelligence. It focuses on covering the essential concepts in AI. The module covers Turing test, blind search, iterative deepening, production systems, heuristic search, A* algorithm, minimax and alpha-beta procedures, predicate and first-order logic, resolution refutation, non-monotonic reasoning, assumption-based truth maintenance systems, inheritance hierarchies, the frame problem, certainly factors, Bayes' rule, frames and semantic nets, planning, learning, natural language, vision, and expert systems and LISP.","['search', 'artificial', 'intelligence', 'turing', 'test', 'blind', 'search', 'iterative', 'deepening', 'production', 'system', 'heuristic', 'search', 'algorithm', 'minimax', 'alpha', 'beta', 'procedure', 'predicate', 'first', 'order', 'logic', 'resolution', 'refutation', 'non', 'monotonic', 'reasoning', 'assumption', 'based', 'truth', 'maintenance', 'system', 'inheritance', 'hierarchy', 'certainly', 'factor', 'bayes', ""'"", 'rule', 'natural', 'language']"
NUS,CS4224,Distributed Databases,"This module studies the management of data in a distributed environment. It covers the fundamental principles of distributed data management and includes distribution design, data integration, distributed query processing and optimization, distributed transaction management, and replication. It will also look at how these techniques can be adapted to support database management in emerging technologies (e.g., parallel systems, peer-to-peer systems, cloud computing).","['distributed', 'environment', 'distributed', 'data', 'management', 'distribution', 'design', 'data', 'integration', 'distributed', 'query', 'processing', 'optimization', 'distributed', 'transaction', 'management', 'replication', 'database', 'management', 'parallel', 'system', 'peer', 'peer', 'system', 'cloud', 'computing']"
NUS,CS4225,Big Data Systems for Data Science,"Data science incorporates varying elements and builds on techniques and theories from many fields, including statistics, data engineering, data mining, visualization, data warehousing, and high-performance computing systems with the goal of extracting meaning from big data and creating data products. Data science utilizes advanced computing systems such as Apache Hadoop and Spark to address big data challenges. In this module, students will learn various computing systems and optimization techniques that are used in data science with emphasis on the system building and algorithmic optimizations of these techniques.","['statistic', 'data', 'engineering', 'data', 'mining', 'visualization', 'data', 'warehousing', 'high', 'performance', 'computing', 'system', 'apache', 'hadoop', 'spark', 'optimization', 'technique', 'system', 'building', 'algorithmic', 'optimization']"
NUS,CS4231,Parallel and Distributed Algorithms,"This course will examine some fundamental issues in parallel programming and distributed computing, and the relationships between the two. Parallel programming: mutual exclusion, semaphores, consistency, wait-free synchronization. Distributed computing: time, global state, snapshots, message ordering. Relationships: consensus, fault-tolerance, transactions, self-stabilization.","['parallel', 'programming', 'distributed', 'computing', 'parallel', 'programming', 'mutual', 'exclusion', 'consistency', 'wait', 'free', 'synchronization', 'distributed', 'computing', 'global', 'state', 'snapshot', 'message', 'ordering', 'consensus', 'fault', 'tolerance', 'transaction', 'self', 'stabilization']"
