Module Code,Module Title,Module Category,Module Level,Credit,Department ,Module Description ,Topics,Prerequisites,Preclusion,Link,Remark,mod_desc
ICT2101,Introduction to Software Engineering,Computer Science,2.0,6,ICT,"The aim of this introductory module is to enable students to learn and apply the basic principles and processes of software engineering. It gives broad coverage of important terminologies, concepts and techniques in software engineering including commonly used software life-cycle process models. Upon completion of this course, students will be able to perform basic requirements engineering and design, and be able to adopt appropriate process models for software development projects. They will also have a basic understanding of requirements engineering, software architecture, testing, software maintenance and project planning. Active learning lectures will be reinforced by flipped tutorials and project-driven labs. For tutorials, students will work in teams to solve pre-assigned problems before the class sessions, and thereby present and defend their solutions during the sessions. In the labs, students will work in teams on client-based projects and utilize a suitable software development life cycle to realize the software products. Besides learning to apply module knowledge during their tutorials and in their development project, students will have the opportunity to learn to make decisions, work, cooperate and communicate with others in a team. As part of the module assessment, each team will develop the client-specified product along with associated deliverables, conduct a software product demonstration as well as undergo individual performance evaluation and peer group evaluation.","agile, waterfall, spiral, V-Model, UML",,,https://www.singaporetech.edu.sg/modules/introduction-software-engineering-0,,"The aim of this introductory module is to enable students to learn and apply the basic principles and processes of software engineering. It gives broad coverage of important terminologies, concepts and techniques in software engineering including commonly used software life-cycle process models. Upon completion of this course, students will be able to perform basic requirements engineering and design, and be able to adopt appropriate process models for software development projects. They will also have a basic understanding of requirements engineering, software architecture, testing, software maintenance and project planning. Active learning lectures will be reinforced by flipped tutorials and project-driven labs. For tutorials, students will work in teams to solve pre-assigned problems before the class sessions, and thereby present and defend their solutions during the sessions. In the labs, students will work in teams on client-based projects and utilize a suitable software development life cycle to realize the software products. Besides learning to apply module knowledge during their tutorials and in their development project, students will have the opportunity to learn to make decisions, work, cooperate and communicate with others in a team. As part of the module assessment, each team will develop the client-specified product along with associated deliverables, conduct a software product demonstration as well as undergo individual performance evaluation and peer group evaluation. agile, waterfall, spiral, V-Model, UML"
CSC2003,Embedded Systems Programming,Computer Science,2.0,6,CSC,"This module aims to develop knowledge and practical expertise in embedded systems and learn about their basic architectural components, applications and corresponding design constraints, as well as understand different sensors for IoT applications. Based on a specific microcontroller and a set of real-world applications and examples, students will learn the functionality of microcontrollers and their integration within an embedded system. Students will also get an opportunity to explore a variety of different sensors and platforms, and enhance their understanding of programming in a low-level language such as C. In lab practicals, students apply theoretical knowledge with exercises using a development platform and measurement equipment, and then progress to an industry relevant team project, giving them the opportunity to plan and organize a larger task, and make and justify their design and implementation decisions.","Topics include (but is not limited to) memory maps, GPIOs, interrupts, ADC/DAC, timers, serial/parallel communication and power management, C",,,https://www.singaporetech.edu.sg/modules/embedded-systems-and-sensor-programming,,"This module aims to develop knowledge and practical expertise in embedded systems and learn about their basic architectural components, applications and corresponding design constraints, as well as understand different sensors for IoT applications. Based on a specific microcontroller and a set of real-world applications and examples, students will learn the functionality of microcontrollers and their integration within an embedded system. Students will also get an opportunity to explore a variety of different sensors and platforms, and enhance their understanding of programming in a low-level language such as C. In lab practicals, students apply theoretical knowledge with exercises using a development platform and measurement equipment, and then progress to an industry relevant team project, giving them the opportunity to plan and organize a larger task, and make and justify their design and implementation decisions. Topics include (but is not limited to) memory maps, GPIOs, interrupts, ADC/DAC, timers, serial/parallel communication and power management, C"
CSC2008,Database Systems,Computer Science,2.0,6,CSC,"This module aims to develop the software engineering and database administration skills required for designing, creating, running and developing a relational database application and its associated application software suite.","Understanding of the fundamental concepts, theories and methods of the relational data model, physical file systems, optimization and indexing, Basic concepts in relational databases, Time-series and spatially organised databases, spatio-temporal relationships and join operations.",,,https://www.singaporetech.edu.sg/modules/database-systems,,"This module aims to develop the software engineering and database administration skills required for designing, creating, running and developing a relational database application and its associated application software suite. Understanding of the fundamental concepts, theories and methods of the relational data model, physical file systems, optimization and indexing, Basic concepts in relational databases, Time-series and spatially organised databases, spatio-temporal relationships and join operations."
CSC3004,Cloud Computing and Big Data,Data Science,3.0,6,CSC,"This module focuses on the software engineering issues raised by distributed systems and algorithms for use in IoT and pervasive systems. It aims to enable students to develop mechanisms, methodologies and applications for distributed IoT systems, distributed data processing algorithms, distributed algorithms for information dissemination along with theoretical/mathematical modelling of distributed computing, which allow such applications to be developed and deployed for the Smart Nation initiatives. This module also covers cloud computing that includes the concept of software defined architectures, virtualisations and containers.","Docker, Kubernates in cloud infrastructure as well as how cloud service providers organise their offerings including platform as a service (PaaS), mobile backend as a service and even serverless architectures. Cloud and distributed computing for IoT and Pervasive Systems",CSC1001,,https://www.singaporetech.edu.sg/modules/cloud-and-distributed-computing,,"This module focuses on the software engineering issues raised by distributed systems and algorithms for use in IoT and pervasive systems. It aims to enable students to develop mechanisms, methodologies and applications for distributed IoT systems, distributed data processing algorithms, distributed algorithms for information dissemination along with theoretical/mathematical modelling of distributed computing, which allow such applications to be developed and deployed for the Smart Nation initiatives. This module also covers cloud computing that includes the concept of software defined architectures, virtualisations and containers. Docker, Kubernates in cloud infrastructure as well as how cloud service providers organise their offerings including platform as a service (PaaS), mobile backend as a service and even serverless architectures. Cloud and distributed computing for IoT and Pervasive Systems"
ICT4005,Change Management,Other,4.0,6,ICT,"The students will be introduced to a number of change management theories and apply the theories at different levels. As this module is going to be carried out concurrently with the student’s placement, the student would also be able to analyse and reflect how changes took place at the hosting organizational as well as at the individual level. The student should also be able to develop, after taking this module, individualised strategies when dealing with change in the future.","This course aims to teach the students about the concepts of change management, drawing to three levels namely societal, organizational and individual.",,,https://www.singaporetech.edu.sg/modules/change-management-0,,"The students will be introduced to a number of change management theories and apply the theories at different levels. As this module is going to be carried out concurrently with the student’s placement, the student would also be able to analyse and reflect how changes took place at the hosting organizational as well as at the individual level. The student should also be able to develop, after taking this module, individualised strategies when dealing with change in the future. This course aims to teach the students about the concepts of change management, drawing to three levels namely societal, organizational and individual."
ICT3211,Integrative Team Project,Other,3.0,6,ICT,"Students will be grouped into teams of 5-6 and will be working on an integrated team project utilising all the foundation knowledge and skills obtained from the modules that they have covered so far. The students will work to provide a solution for a real problem that will be solicited from industry (e.g. prototyping for a SME). This project will enable students to develop the required skills for working as a team. As this project will run through the entire duration of the semester, some students may be taking their breaks or holidays. Thus, this creates an opportunity for the teams to make use of online collaboration tools as well as practice coordination of team projects where members have heterogeneous abilities and schedules","Project based, ""skills obtained so far"", might need to use prototyping",Probably modules learned above,,,,"Students will be grouped into teams of 5-6 and will be working on an integrated team project utilising all the foundation knowledge and skills obtained from the modules that they have covered so far. The students will work to provide a solution for a real problem that will be solicited from industry (e.g. prototyping for a SME). This project will enable students to develop the required skills for working as a team. As this project will run through the entire duration of the semester, some students may be taking their breaks or holidays. Thus, this creates an opportunity for the teams to make use of online collaboration tools as well as practice coordination of team projects where members have heterogeneous abilities and schedules Project based, ""skills obtained so far"", might need to use prototyping"
ICT3210/ICT3110,Industry Certification Module,Computer Science,3.0,6,ICT,"To keep up-to-date with the advances in technology, it is common for ICT professionals to attend courses during their careers. Some of these courses may also lead to internationally recognised certifications that are highly-valued by the industry. To inculcate the student with this approach to life-long learning and career advancement, this module requires the student to pass at least one of the certification courses offered by various industry majors or certification bodies. The list of certification courses accepted will be updated regularly to cover the areas that are in demand by the industry. ","Areas may include data analytics, cloud solutions architectures, open-source software development and cyber-security.",Probably modules learned above,,"https://www.singaporetech.edu.sg/modules/industry-certification-module-0

https://www.singaporetech.edu.sg/modules/industry-certification-module",,"To keep up-to-date with the advances in technology, it is common for ICT professionals to attend courses during their careers. Some of these courses may also lead to internationally recognised certifications that are highly-valued by the industry. To inculcate the student with this approach to life-long learning and career advancement, this module requires the student to pass at least one of the certification courses offered by various industry majors or certification bodies. The list of certification courses accepted will be updated regularly to cover the areas that are in demand by the industry.  Areas may include data analytics, cloud solutions architectures, open-source software development and cyber-security."
CSC3002,Integrated Work Study Programme,"Data Science, Data Analytics",3.0,20,CSC,"Students will undertake an eight-month Integrated Work Study Programme (IWSP) with a company. You will learn to integrate theories through practice, acquire industry knowledge and develop professional skills in a real-world environment. IWSP provides an opportunity for students to immerse themselves in the placement company’s business and culture. The practical experience will allow students to smoothly transit into a career upon graduation.",Internship,Probably modules learned above,,https://www.singaporetech.edu.sg/modules/integrated-work-study-programme-14,,"Students will undertake an eight-month Integrated Work Study Programme (IWSP) with a company. You will learn to integrate theories through practice, acquire industry knowledge and develop professional skills in a real-world environment. IWSP provides an opportunity for students to immerse themselves in the placement company’s business and culture. The practical experience will allow students to smoothly transit into a career upon graduation. Internship"
ICT4001,Capstone Project,"Data Science, Data Analytics",4.0,10,ICT,"This is a major individual project that is to be undertaken by the student that utilises the technical capabilities, professional skills and the academic knowledge obtained during the course of this degree programme. The project has to be of reasonable complexity and allows scope for the student to demonstrate the various aspects of software engineering. As the capstone project will be carried out concurrently with the student’s placements, hosting organisations may also propose capstone projects which may lead to actual industrial usage.",Capstone Project,Probably modules learned above,,https://www.singaporetech.edu.sg/modules/capstone-project-2,,"This is a major individual project that is to be undertaken by the student that utilises the technical capabilities, professional skills and the academic knowledge obtained during the course of this degree programme. The project has to be of reasonable complexity and allows scope for the student to demonstrate the various aspects of software engineering. As the capstone project will be carried out concurrently with the student’s placements, hosting organisations may also propose capstone projects which may lead to actual industrial usage. Capstone Project"
CSC3005,Data Analytics ,Data Analytics,3.0,6*,CSC,"This module will endow students with the understanding of the new challenges big data introduces, in particular in the area of IoT and the currently available solutions. These include (i) challenges pertaining to the modelling, accessing, and storing of big data, (ii) an understanding of the fundamentals of systems designed to store and access big data, (iii) programming paradigms for efficient scalable access to big data, and (iv) data processing methodology to facilitate big data analytics. The module will have a particular emphasis on the impact of the desiderata of scalability and efficiency in big data infrastructures, and expose students with a number of different cloud-based NoSQL systems and their design and implementation details, showing how they can achieve efficiency and scalability. ","Topics to be covered include Google FS, HDFS, Map-Reduce/Spark Programming paradigm (including an overview of computational statistics and machine learning in the Hadoop/Spark universe), Distributed NoSQL data store (BigTable/HBase), Cassandra and Hive.",,,https://www.singaporetech.edu.sg/modules/data-analytics,"MC unknown, choose the normal 6MC scheme by comparing with other similar level modules","This module will endow students with the understanding of the new challenges big data introduces, in particular in the area of IoT and the currently available solutions. These include (i) challenges pertaining to the modelling, accessing, and storing of big data, (ii) an understanding of the fundamentals of systems designed to store and access big data, (iii) programming paradigms for efficient scalable access to big data, and (iv) data processing methodology to facilitate big data analytics. The module will have a particular emphasis on the impact of the desiderata of scalability and efficiency in big data infrastructures, and expose students with a number of different cloud-based NoSQL systems and their design and implementation details, showing how they can achieve efficiency and scalability.  Topics to be covered include Google FS, HDFS, Map-Reduce/Spark Programming paradigm (including an overview of computational statistics and machine learning in the Hadoop/Spark universe), Distributed NoSQL data store (BigTable/HBase), Cassandra and Hive."
Not Stated,Artificial Intelligence in Business and Society,Data Science,,3,,Artificial Intelligence in Business and Society,,,,,,Artificial Intelligence in Business and Society
Not Stated,Natural Language Processing,Data Science,,6,,Natural Language Processing,,,,,,Natural Language Processing
Not Stated,Edge Computing and Analytics,"Data Analytics, Computer Science",,6,,Edge Computing and Analytics,,,,,,Edge Computing and Analytics
Not Stated,Cyber Security Fundamentals,Computer Science,,6,,Cyber Security Fundamentals,,,,,,Cyber Security Fundamentals
Not Stated,AI Cross-Domain Project,Data Science,,6,,AI Cross-Domain Project,,,,,,AI Cross-Domain Project
Not Stated,Computer Vision and Deep Learning,Data Science,,6,,Computer Vision and Deep Learning,,,,,,Computer Vision and Deep Learning
